id,user/name,full_text,favorite_count,reply_count,created_at
Ugyp8Dqe9fb7wRx8Lq14AaABAg,Luiz ô Gabriel,Mario? Que Mario?,0,1,2022-11-29T23:17:04Z
UgyeNrRfX3a9GRs-1_B4AaABAg,João Pedro Fiúza,"Eu amei o teaser trailer oficial do novo filme de animação do Mario, eu adorei o visual do filme, os cenários, os personagens (principalmente o Bowser que é o meu personagem favorito dos jogos do Mario), a trilha sonora do teaser trailer, a dublagem dos personagens (principalmente a de Jack Black como a voz do Bowser e a do Márcio Dondoni) e as referências dos jogos do Mario. Eu torço para que este filme do Mario seja um grande sucesso de bilheteria, que as salas do cinema estejam cheias de crianças e adultos que são grandes fãs do Mario assim como eu, e que esse filme ganhe até um Oscar de &quot;Melhor Filme de Animação&quot;. Estou aqui no meu hype para ver este filme que vai ser incrível. 🤩🤩🤩",0,0,2022-11-29T22:34:21Z
Ugx5FQ7MEUDkQvWmJAZ4AaABAg,Erik Ponga,Em 2023 universal???? Eu preciso desse filme agora!!!! Sou necessitado desse filme do Mario desde 1800,1,0,2022-11-29T19:39:49Z
UgxwDo14BbxSP0sJvLd4AaABAg,Erik Ponga,Illumination pela mor de deus não coloque piada de peidos nesse filme!!!!,0,0,2022-11-29T19:20:55Z
UgzKqrM7zoPXm-JWVTJ4AaABAg,Canal A.L.Zueiro,ÃHHHHHH QUI LINDU KRA,0,0,2022-11-29T01:04:19Z
UgwKj-wu5LKeehox8dt4AaABAg,Rodrigo Longuinho,"o Mario teve grandes jogos, espero que o filme seja bom, estou esperando Março de 2023 pra poder assistir esse grande clássico do Mundo dos Games",1,0,2022-11-27T20:40:26Z
UgyF-JKZadydAMHd69N4AaABAg,@Morgan,O filme perfeito não exis...,1,0,2022-11-26T04:32:08Z
Ugy-Y0eDvd9bH7hZq454AaABAg,Dark Night Came,"Cara eu sou fã do Sonic, mas esse filme tá parecendo até melhor que do Ouriço! XD (Tive que dizer...XD)",0,1,2022-11-25T19:00:05Z
Ugx5LiEIhDqA9AchwAl4AaABAg,Whatizin,Dublagem ficou muito boa mano sério mesmo,1,0,2022-11-24T21:42:40Z
Ugy7xoU9MahuxV7WiCd4AaABAg,ZIP ANIMA,Já tá na hora de lançar o 2ª trailer,2,0,2022-11-21T17:00:49Z
Ugw9sCrTmXriB_ZH2Vx4AaABAg,Karen Elizabeth,😊😍,0,0,2022-11-16T06:30:25Z
Ugya_1L0mflTUlYU0XB4AaABAg,kazuhapepsi,NEM FUDENDO<br><br><br><br><br>TUDO FUDENDO AJWYKAHQIWHALAHWOXHALWUOX,0,0,2022-11-12T18:42:17Z
Ugwz1m9deKSxWiBLxcZ4AaABAg,Mateus Original,Mais e a princesa Daisy a dubladora?,1,0,2022-11-11T22:33:54Z
Ugy4HadXy_JTRjpmdfh4AaABAg,Dark Angel V,"Eu sempre prefiro assistir com o áudio original, mas se eles manterem daquele jeito, esse filme vou assistir dublado que está muuuuuuuuuuito melhor",0,0,2022-11-11T05:11:10Z
Ugx6eA09MO0YMA3tVSJ4AaABAg,Gustavo Henrique,"Gostei da dublagem BR... Só acho que  ficaria melhor se o dublador do toad inventasse alguma frase no meio do filme tipo;&quot;ESCREVEU NÃO LEU O PAL COMEU!&quot; Mas a dublagem ficou boa sim, kkkkk",1,1,2022-11-09T16:38:27Z
UgyHQlScqpTY5wCTE9R4AaABAg,PeterSunnerBits,"É incrível como o Dublador fez mais sotaque de Italiano do que o Chris Pratt, SÃO POR COISAS ASSIM QUE AMO A DUBLAGEM BRASILEIRA!!!",3,0,2022-11-08T19:46:25Z
UgzjfLEFi1aOEDXLzc54AaABAg,Amiapicatadura,Que mario?🌚,2,1,2022-11-07T01:21:42Z
